Paramètre;VIF;cos_teta;R_2;Teta
0;EX__INST_2014042421_JAS2;43646483.14376105;0.9999999885443233;0.9999999770886466;0.008672573830109283
1;EY__INST_2014042421_JAS2;5740685.237039912;0.9999999129023799;0.9999998258047674;0.0239133696721647
2;EZ__INST_2014042421_JAS2;37718804.82930519;0.9999999867440126;0.9999999734880253;0.009329184291292376
3;EXP_INST_2014042421_JAS2;52850358.25525169;0.9999999905393262;0.9999999810786524;0.007881314620638201
4;EYP_INST_2014042421_JAS2;27036.20653184217;0.9999815061102257;0.9999630125624753;0.3484595985802661
5;EZP_INST_2014042421_JAS2;37555714.18987568;0.9999999866864467;0.9999999733728936;0.009349418942330866
6;FD_______2014042503_JAS2;294601147.6788401;0.9999999983027901;0.9999999966055801;0.003338146650769
7;FD_______2014042515_JAS2;6456220.4613663275;0.9999999225553058;0.9999998451106176;0.022549320930753732
8;FD_______2014042603_JAS2;45436.91813691651;0.9999889956719866;0.9999779914650684;0.2687941373448571
9;FS_______2014042509_JAS2;2249425.280887925;0.9999997777209761;0.9999995554420018;0.038202068478402615
10;BTS____201404242100_JAS2;1519468.2941330404;0.9999996709374692;0.9999993418750468;0.046481149401422124
11;BTC____201404242100_JAS2;1488496.3557340147;0.9999996640904883;0.9999993281810895;0.04696223886511521
12;BNS____201404242100_JAS2;872.0554836089816;0.9994264775221899;0.9988532839724125;1.940589202998703
13;BNC____201404242100_JAS2;1125.231816295348;0.9995555483497999;0.9991112942368691;1.7083072275181288
14;BX_____201404242100_JAS2;1677619.827097097;0.9999997019586521;0.9999994039173931;0.044236005203171565
15;BY_____201404242100_JAS2;364756316.6962679;0.9999999986292218;0.9999999972584437;0.0029999997471395856
16;YXM_620140425085759_JAS2;73246.44970173614;0.9999931737072771;0.9999863474611524;0.2117046177730272
17;YYM_620140425085759_JAS2;95.11388569319492;0.9947292536235678;0.9894862880145002;5.885246109925498
18;YZM_620140425085759_JAS2;173.99657722821036;0.9971222395015983;0.9942527605086827;4.347795996784615
19;PX_______2014042512_____;343.88481914874797;0.9985449662345868;0.9970920495924321;3.091198112443482
20;PY_______2014042512_____;363.14994107237607;0.9986222090971563;0.9972463165020845;3.00800922075871
21;SX__2014042310002GR4B___;9832.343207512156;0.99994914612893;0.9998982948439762;0.5778318541642252
22;SY__2014042310002GR4B___;27866.159232909024;0.9999820569285623;0.9999641141790786;0.3432311320585318
23;SZ__2014042310002GR4B___;15460.609802403018;0.9999676592261422;0.9999353194982099;0.4608016277132974
24;SX__2014042310003TLSB___;8708.005037717707;0.999942579918906;0.9998851631348777;0.61400457783183
25;SY__2014042310003TLSB___;27043.249772745476;0.9999815109268851;0.9999630221956162;0.34841421803312356
26;SZ__2014042310003TLSB___;14343.586637343547;0.999965140607601;0.9999302824303793;0.4784084020926665
27;SX__2014042310202REZB___;12609.23250032792;0.9999603457297063;0.9999206930318737;0.5102512139760554
28;SY__2014042310202REZB___;11077.810992599225;0.9999548637104694;0.9999097294582234;0.5443800374168807
29;SZ__2014042310202REZB___;8179.430695046426;0.9999388691827324;0.9998777421024417;0.6335340239785022
30;SX__2014042310317SPJB___;120720.43150528258;0.9999958581904552;0.9999917163980651;0.16490462734568542
31;SY__2014042310317SPJB___;40995.235744488;0.9999878033864157;0.9999756069215888;0.28298127822798297
32;SZ__2014042310317SPJB___;222387.53465336285;0.9999977516700167;0.9999955033450884;0.12149761077372172
33;SX__2014042310503MEUB___;11989.104560164225;0.9999582945978943;0.9999165909351293;0.523281397578706
34;SY__2014042310503MEUB___;10131.40022247702;0.9999506472622235;0.9999012969601396;0.5692395166043646
35;SZ__2014042310503MEUB___;10164.882384638238;0.9999508098294771;0.9999016220786272;0.5683012019240975
36;SX__2014042312334KIUB___;46207.65070333097;0.99998917922254;0.9999783585621693;0.2665429834804205
37;SY__2014042312334KIUB___;14887.935100288005;0.9999664151950574;0.9999328315180538;0.4695807237726627
38;SZ__2014042312334KIUB___;27459.032026290824;0.9999817908893569;0.9999635821102855;0.34576629524114233
39;SX__2014042312338BADB___;27795.1852490882;0.9999820111111769;0.999964022545954;0.343669071962306
40;SY__2014042312338BADB___;15966.17984441922;0.9999686833147211;0.999937367610177;0.45344713008921955
41;SZ__2014042312338BADB___;15209.848740503949;0.9999671260229368;0.999934253126572;0.46458474349817175
42;SX__2014042312349KRBB___;22663.125599659703;0.9999779374864473;0.999955875459649;0.3805974931863548
43;SY__2014042312349KRBB___;12053.288644886494;0.9999585166848837;0.9999170350906328;0.5218862554973187
44;SZ__2014042312349KRBB___;12673.927292491882;0.999960548151207;0.9999210978588624;0.5089472100966612
45;SX__2014042312602DIOB___;12756.080688883549;0.9999608022391966;0.9999216060148576;0.5073056253049237
46;SY__2014042312602DIOB___;42045.61890185918;0.9999881080838847;0.9999762163091871;0.2794241761615002
47;SZ__2014042312602DIOB___;25937.255386740984;0.999980722523954;0.9999614454195291;0.3557651587881941
48;SX__2014042321501EVEB___;87863.23753171446;0.9999943093216603;0.9999886186757045;0.1932946595623097
49;SY__2014042321501EVEB___;35760.32414310284;0.9999860179260809;0.99997203604766;0.30298695685557653
50;SZ__2014042321501EVEB___;58879.32237241536;0.9999915080183864;0.9999830161088866;0.2361252659975447
51;SX__2014042321602JIVB___;39909.0589715694;0.9999874714376875;0.9999749430323398;0.28680631024130004
52;SY__2014042321602JIVB___;15550.511153415973;0.9999678461991605;0.9999356934321879;0.4594676642421074
53;SZ__2014042321602JIVB___;21286.930271330166;0.9999765111330797;0.9999530228178862;0.3927077879316661
54;SX__2014042322006MANB___;38762.92483683508;0.9999871009933622;0.9999742021531087;0.2910155732409471
55;SY__2014042322006MANB___;21521.858162599394;0.9999767675353863;0.99995353561052;0.39055851719393897
56;SZ__2014042322006MANB___;27942.235072183714;0.9999821057810049;0.9999642118822129;0.3427635655685251
57;SX__2014042322901MALB___;39073.630531363684;0.9999872035643392;0.9999744072924271;0.28985620516928406
58;SY__2014042322901MALB___;26516.31093560888;0.999981143503884;0.9999622873633354;0.3518591187754284
59;SZ__2014042322901MALB___;54230.747961899346;0.9999907800957247;0.999981560276456;0.2460374232165762
60;SX__2014042323101CIDB___;41932.28002503402;0.9999880759409998;0.9999761520241828;0.27980155252355376
61;SY__2014042323101CIDB___;51912.13987237124;0.9999903682951778;0.9999807366831254;0.2514719567238211
62;SZ__2014042323101CIDB___;41939.20985272498;0.9999880779112841;0.9999761559647043;0.27977843487259396
63;SX__2014042330302HBMB___;14384.313842887308;0.9999652393088899;0.9999304798260854;0.4777306325088908
64;SY__2014042330302HBMB___;88500.34156327075;0.9999943502883312;0.9999887006085815;0.19259764695507897
65;SZ__2014042330302HBMB___;39158.68494007894;0.9999872313589452;0.9999744628809285;0.2895412410689706
66;SX__2014042330602ASEB___;48766.11374824977;0.9999897469261984;0.9999794939575222;0.2594567913974583
67;SY__2014042330602ASEB___;101232.89322801985;0.9999950608817071;0.9999901217878091;0.18007877300078026
68;SZ__2014042330602ASEB___;36336.169795530936;0.9999862395116778;0.9999724792127066;0.3005765195233152
69;SX__2014042330604TRJB___;3694720.338540565;0.9999998646717511;0.9999997293435203;0.029807933339199785
70;SY__2014042330604TRJB___;26871172.27150132;0.9999999813926984;0.9999999627853973;0.011052978603118666
71;SZ__2014042330604TRJB___;5122499.014606211;0.9999999023913869;0.9999998047827834;0.025315219929960112
72;SX__2014042330606HEMB___;20273.600232928282;0.9999753370807325;0.9999506747697247;0.40240258643084575
73;SY__2014042330606HEMB___;122050.51745112547;0.9999959033272893;0.9999918066713613;0.16400361197924734
74;SZ__2014042330606HEMB___;29192.32825325984;0.999982872065644;0.9999657444246541;0.33534415807655343
75;SX__2014042331906PDMB___;13546.334339286299;0.9999630889644825;0.9999261792913896;0.49228554156919774
76;SY__2014042331906PDMB___;25449.327889851775;0.9999803529227184;0.9999607062314444;0.3591594666954904
77;SZ__2014042331906PDMB___;11190.480923970907;0.9999553181696029;0.9999106383356717;0.5416325117750498
78;SX__2014042332809LICB___;13397.470101397254;0.9999626788246823;0.9999253590422347;0.4950130370358152
79;SY__2014042332809LICB___;484823.1601352232;0.9999989686956009;0.9999979373922654;0.08228697603013832
80;SZ__2014042332809LICB___;89236.8786384288;0.9999943969196547;0.9999887938707039;0.1918011726453094
81;SX__2014042339601SALB___;12566.342803413445;0.9999602103845626;0.9999204223523388;0.511121254619882
82;SY__2014042339601SALB___;52800.62475984917;0.9999905303702429;0.9999810608301597;0.24934718672054043
83;SZ__2014042339601SALB___;18613.804083455416;0.999973137854391;0.9999462764303569;0.41996099100124085
84;SX__2014042339901DJIB___;34583.26704968642;0.9999855420364478;0.9999710842819285;0.30810001274476684
85;SY__2014042339901DJIB___;133129.77935918604;0.9999962442592383;0.9999924885325822;0.157031062782149
86;SZ__2014042339901DJIB___;68653.67540035024;0.9999927170422002;0.9999854341374418;0.21867130188043837
87;SX__2014042340101STKB___;17393.98864472165;0.999971254023628;0.999942508873587;0.43443739684577465
88;SY__2014042340101STKB___;16901.77710603054;0.9999704168743467;0.9999408346238549;0.44071794059777114
89;SZ__2014042340101STKB___;8130.338213424837;0.9999385000522323;0.9998770038867081;0.6354439211869635
90;SX__2014042340127YEMB___;11272.61434038716;0.9999556437331913;0.9999112894338612;0.5396556510036703
91;SY__2014042340127YEMB___;16934.31105213471;0.9999704737098462;0.999940948291494;0.4402943783557725
92;SZ__2014042340127YEMB___;8826.472685610372;0.999943350624813;0.9998867044587777;0.6098699606504895
93;SX__2014042340424KOLB___;17858.12434620369;0.9999720011469224;0.9999440030777805;0.42875457221482194
94;SY__2014042340424KOLB___;51973.28023937629;0.9999903796257846;0.9999807593441208;0.2513239988620088
95;SZ__2014042340424KOLB___;29411.57578644955;0.9999829997462996;0.9999659997816077;0.334091900311536
96;SX__2014042340451GRFB___;40501.67684775425;0.9999876547559201;0.9999753096642453;0.2847002952026371
97;SY__2014042340451GRFB___;21007.72067823095;0.9999761989433317;0.9999523984531536;0.3953089169651103
98;SZ__2014042340451GRFB___;18091.13106485924;0.9999723617662234;0.9999447242963188;0.4259844769205895
99;SX__2014042341507RIRB___;67397.0346551442;0.9999925812484591;0.9999851625519562;0.22070049741986986
100;SY__2014042341507RIRB___;68388.74459402009;0.9999926888286842;0.9999853777108216;0.21909444934868966
