;Paramètre;VIF;cos_teta;R_2;Teta
0;EX__INST_2014041921_CRYO;55025.1030413287;0.9999909131969942;0.9999818264765583;0.24425502977749203
1;EY__INST_2014041921_CRYO;13875545.875656862;0.999999963965381;0.9999999279307633;0.015381461350437928
2;EZ__INST_2014041921_CRYO;277935920.19834155;0.9999999982010241;0.9999999964020484;0.0034367686477872446
3;EXP_INST_2014041921_CRYO;3481820.464435979;0.9999998563969507;0.999999712793922;0.030705732804790185
4;EYP_INST_2014041921_CRYO;140448308.61352283;0.9999999964399714;0.9999999928799428;0.004834642596604003
5;EZP_INST_2014041921_CRYO;21196462.504569784;0.9999999764111579;0.9999999528223165;0.012444886576086295
6;FD_______2014042003_CRYO;21747215.28393925;0.9999999770085504;0.9999999540171012;0.012286291315160111
7;FD_______2014042015_CRYO;434192.5311624868;0.9999988484364608;0.9999976968742477;0.08695241025362005
8;FD_______2014042103_CRYO;5413.436174783452;0.9999076329568349;0.9998152744453406;0.7787525716419852
9;FS_______2014042009_CRYO;19278743.970915414;0.9999999740647001;0.9999999481294009;0.01304918139918649
10;BTS____201404192100_CRYO;2041544.4330924992;0.9999997550873481;0.9999995101747561;0.04009989630395627
11;BTC____201404192100_CRYO;1264839.8563177148;0.9999996046929607;0.9999992093860776;0.050945393204864714
12;BNS____201404192100_CRYO;435.75786397038894;0.9988519147270987;0.9977051475539912;2.745783320962812
13;BNC____201404192100_CRYO;353.5103962018656;0.998584612778652;0.9971712288782902;3.048782923616312
14;BX_____201404192100_CRYO;34629428.352481574;0.9999999855614133;0.9999999711228268;0.009736435085332057
15;BY_____201404192100_CRYO;273813.3057742913;0.9999981739365985;0.9999963478765315;0.10949533647015498
16;YXM_620140420101449_CRYO;24607.573694464605;0.9999796808459848;0.9999593621048375;0.3652508007481979
17;YYM_620140420101449_CRYO;2715.06474571161;0.9998158253689206;0.9996316846581359;1.0996619555936726
18;YZM_620140420101449_CRYO;4152.237341636897;0.999879575740321;0.9997591659826445;0.8891990319029363
19;PX_______2014042012_____;209.13523978655397;0.9976063377308444;0.9952184050807477;3.96511451818642
20;PY_______2014042012_____;377.8958461407321;0.9986760076289087;0.9973537682136162;2.948684453908004
21;SX__2014042310002GR4B___;19597.34638002604;0.9999744860161738;0.9999489726833108;0.40928675591981256
22;SY__2014042310002GR4B___;65434.939291217896;0.9999923587930893;0.9999847176445668;0.22398497500606174
23;SZ__2014042310002GR4B___;6316.3582749494135;0.999920837329093;0.9998416809249143;0.7209426434224825
24;SX__2014042310003TLSB___;22708.21637069064;0.9999779812955552;0.9999559630759336;0.3802194314752038
25;SY__2014042310003TLSB___;24888.06998053318;0.9999799098514678;0.9999598201065497;0.36318669580961854
26;SZ__2014042310003TLSB___;10554.642912815203;0.9999526263609465;0.9999052549661547;0.55770908372777
27;SX__2014042310202REZB___;9613.457680761097;0.9999479882244364;0.9998959791540976;0.5843732835055809
28;SY__2014042310202REZB___;15612.26182416955;0.9999679733780784;0.9999359477818613;0.45855808577893764
29;SZ__2014042310202REZB___;10129.08125264833;0.9999506359630412;0.9999012743628907;0.5693046763720512
30;SX__2014042310317SPJB___;3732.4224403493226;0.9998660297694614;0.9997320774869454;0.9378786103286983
31;SY__2014042310317SPJB___;5473.759621299379;0.9999086509322835;0.9998173102092192;0.7744493079920277
32;SZ__2014042310317SPJB___;12990.99780683718;0.9999615110686759;0.9999230236187497;0.5026977594695776
33;SX__2014042310503MEUB___;10137.319685652466;0.9999506760813718;0.9999013545955925;0.5690732894680929
34;SY__2014042310503MEUB___;12141.307752975043;0.9999588174267526;0.9999176365495097;0.5199910401512189
35;SZ__2014042310503MEUB___;8542.21863550295;0.9999414654839225;0.9998829343941346;0.6199344412827011
36;SX__2014042312334KIUB___;215570.64298621524;0.9999976805720253;0.9999953611494304;0.12340369384369154
37;SY__2014042312334KIUB___;338826.86681049166;0.9999985243190022;0.9999970486401819;0.09843145982629022
38;SZ__2014042312334KIUB___;67386.077706594;0.9999925800421687;0.9999851601393933;0.22071843968400395
39;SX__2014042312338BADB___;26591.79745698566;0.9999811970325965;0.9999623944187445;0.351359343785175
40;SY__2014042312338BADB___;23686.74167330647;0.9999788909220094;0.999957782289612;0.3722828469620475
41;SZ__2014042312338BADB___;15231.250327077003;0.9999671722152585;0.9999343455081805;0.46425822521082843
42;SX__2014042312349KRBB___;69132.27601461933;0.9999927674620747;0.9999855349764589;0.21791305627907143
43;SY__2014042312349KRBB___;19206.077187485203;0.9999739662345598;0.9999479331468765;0.413434834837332
44;SZ__2014042312349KRBB___;11332.401950397836;0.9999558777536313;0.9999117574540352;0.5382301658488973
45;SX__2014042312602DIOB___;50211.615583751234;0.9999900420951672;0.9999800842894941;0.2556948473158108
